idx,classical_chamfer_l2,classical_chamfer_l1,classical_hausdorff,classical_hausdorff95,classical_normal_consistency,global_chamfer_l2,global_chamfer_l1,global_hausdorff,global_hausdorff95,global_normal_consistency,learned_chamfer_l2,learned_chamfer_l1,learned_hausdorff,learned_hausdorff95,learned_normal_consistency
32,0.0079034473747015,0.0431402325630188,0.27715563774836977,0.14717723429203033,0.8704296946525574,0.007294186856597662,0.03892610967159271,0.2768173460640629,0.13940724730491638,0.8601647019386292,0.0070341709069907665,0.03718988597393036,0.2698830644278124,0.1380530148744583,0.886928379535675
33,0.0036693827714771032,0.02329545095562935,0.28281411386524674,0.1401369273662567,0.958231508731842,0.002890099072828889,0.021535255014896393,0.281813467693719,0.09446176886558533,0.9505358934402466,0.0012748587178066373,0.01416226476430893,0.2697783733220294,0.04254589602351189,0.9675498008728027
34,0.009709848091006279,0.03549567610025406,0.41010749163776344,0.25292402505874634,0.8957507610321045,0.008441897109150887,0.03151630610227585,0.409253389189522,0.24820969998836517,0.9076390266418457,0.006001656875014305,0.02728578820824623,0.3783980235104124,0.2134370058774948,0.9091154336929321
35,0.009329725988209248,0.03355886787176132,0.4114812611175447,0.24484708905220032,0.9248533248901367,0.00799324456602335,0.031143518164753914,0.4115765639141877,0.1711837500333786,0.9131390452384949,0.0076196701265871525,0.02537062019109726,0.41095068152575726,0.20012451708316803,0.9473580718040466
36,0.007205205038189888,0.027398280799388885,0.42042171094657776,0.20915968716144562,0.9492501616477966,0.005629910621792078,0.02297421544790268,0.4183965614810298,0.12454430758953094,0.9440690875053406,0.0028846298810094595,0.016258254647254944,0.4190564130530182,0.03240472450852394,0.9726238250732422
37,0.00483340909704566,0.020182188600301743,0.3455151299995048,0.1814684271812439,0.9815845489501953,0.003929981030523777,0.017431428655982018,0.3462948772288628,0.13804276287555695,0.9878370761871338,0.0020856293849647045,0.013166829943656921,0.3327742509846529,0.03007306344807148,0.9890781044960022
38,0.015387364663183689,0.03654886782169342,0.5981492894820308,0.31994345784187317,0.9232595562934875,0.01451152190566063,0.03541989624500275,0.5982493281522072,0.3115234971046448,0.9296499490737915,0.00747640198096633,0.02456679195165634,0.5802652846989511,0.15775273740291595,0.9342220425605774
39,0.010169174522161484,0.028015533462166786,0.5414788091569154,0.2569896876811981,0.934116005897522,0.008730306290090084,0.024481145665049553,0.5414788091569154,0.20286066830158234,0.9403859972953796,0.0045266528613865376,0.01764294132590294,0.5398733702288557,0.03771478682756424,0.9586853384971619
40,0.001482333755120635,0.017289582639932632,0.13404364623363094,0.09169520437717438,0.9576575756072998,0.0014148905174806714,0.017542019486427307,0.13315269432880072,0.08574998378753662,0.9511181116104126,0.0006382912397384644,0.011396830901503563,0.12890741318842577,0.04655597358942032,0.9749878644943237
41,0.010423235595226288,0.030847273766994476,0.4269462885051893,0.2677340507507324,0.8769310116767883,0.009938583709299564,0.030078135430812836,0.4270594946868434,0.2488963007926941,0.8618710041046143,0.009698683395981789,0.027475513517856598,0.4254470528552416,0.25628554821014404,0.9038132429122925
42,0.008299292996525764,0.02729998156428337,0.41654769470507375,0.22366242110729218,0.9677124619483948,0.006581529509276152,0.023261573165655136,0.418928897420482,0.21816641092300415,0.9736329913139343,0.004529975354671478,0.019767653197050095,0.41008765237372674,0.19085049629211426,0.9735648036003113
43,0.004654918797314167,0.025326430797576904,0.34949419052796726,0.14950983226299286,0.9527294635772705,0.003832187969237566,0.023728420957922935,0.3469622145804043,0.09386808425188065,0.9452701807022095,0.0020800242200493813,0.01612819731235504,0.3367107164703545,0.07711418718099594,0.9667589664459229
44,0.0073691122233867645,0.03352361544966698,0.385469286995194,0.20849013328552246,0.8482785820960999,0.005700815003365278,0.02761618234217167,0.385469286995194,0.1789863109588623,0.8329774141311646,0.003720636013895273,0.024458952248096466,0.3855234032687588,0.08260904252529144,0.8557062149047852
45,0.003329416736960411,0.02802158147096634,0.20534375562480617,0.11378082633018494,0.9362339377403259,0.0029703848995268345,0.024906551465392113,0.2065288277332622,0.08704419434070587,0.9223507642745972,0.001264440594241023,0.016598645597696304,0.18428008659193498,0.04997209459543228,0.9694514274597168
46,0.008670606650412083,0.032418303191661835,0.4073740922918329,0.25040313601493835,0.9244167804718018,0.006893772631883621,0.028358150273561478,0.40186468324722885,0.23164761066436768,0.8991750478744507,0.005051285028457642,0.023904526606202126,0.39208511216668523,0.19904565811157227,0.9263260364532471
47,0.0034530009143054485,0.0221792533993721,0.27097519802603975,0.13281609117984772,0.9511278867721558,0.0028061221819370985,0.01904745027422905,0.27097519802603975,0.08495540171861649,0.9511033892631531,0.0017243563197553158,0.015030000358819962,0.2710070908523176,0.03287080302834511,0.9705480933189392
48,0.010818281210958958,0.030596738681197166,0.5026439558760335,0.26144111156463623,0.9451355338096619,0.00916046928614378,0.026679271832108498,0.5016785401251947,0.24047541618347168,0.9464554190635681,0.004483788274228573,0.016867656260728836,0.4992853660492625,0.11454152315855026,0.9775710701942444
49,0.012940246611833572,0.03432903438806534,0.6053326115297574,0.2137335240840912,0.9310092329978943,0.012489576824009418,0.03258620202541351,0.6053326115297574,0.21342262625694275,0.9297468662261963,0.006457224953919649,0.021994365379214287,0.5940030713082234,0.10609057545661926,0.9437276124954224
